,id,name,country,country_code,abbreviation,week,Year
0,sr:competitor:49363,"Pavic, Mate",Croatia,HRV,PAV,16,2025
1,sr:competitor:51836,"Arevalo-Gonzalez, Marcelo",El Salvador,SLV,ARE,16,2025
2,sr:competitor:14898,"Heliovaara, Harri",Finland,FIN,HEL,16,2025
3,sr:competitor:637970,"Patten, Henry",Great Britain,GBR,PAT,16,2025
4,sr:competitor:87690,"Thompson, Jordan",Australia,AUS,THO,16,2025
5,sr:competitor:95801,"Vavassori, Andrea",Italy,ITA,VAV,16,2025
6,sr:competitor:15310,"Bolelli, Simone",Italy,ITA,BOL,16,2025
7,sr:competitor:36593,"Krawietz, Kevin",Germany,DEU,KRA,16,2025
8,sr:competitor:52293,"Putz, Tim",Germany,DEU,PUT,16,2025
9,sr:competitor:15568,"Granollers, Marcel",Spain,ESP,GRA,16,2025
10,sr:competitor:16160,"Zeballos, Horacio",Argentina,ARG,ZEB,16,2025
11,sr:competitor:124658,"Purcell, Max",Australia,AUS,PUR,16,2025
12,sr:competitor:16608,"Mektic, Nikola",Croatia,HRV,MEK,16,2025
13,sr:competitor:59131,"Glasspool, Lloyd",Great Britain,GBR,GLA,16,2025
14,sr:competitor:108099,"Cash, Julian",Great Britain,GBR,CAS,16,2025
15,sr:competitor:16151,"Venus, Michael",New Zealand,NZL,VEN,16,2025
16,sr:competitor:53785,"Skupski, Neal",Great Britain,GBR,SKU,16,2025
17,sr:competitor:38181,"Molteni, Andres",Argentina,ARG,MOL,16,2025
18,sr:competitor:15548,"Gonzalez, Maximo",Argentina,ARG,GON,16,2025
19,sr:competitor:210736,"Lammons, Nathaniel",USA,USA,LAM,16,2025
20,sr:competitor:55989,"Withrow, Jackson",USA,USA,WIT,16,2025
21,sr:competitor:47834,"Murray, Jamie",Great Britain,GBR,MUR,16,2025
22,sr:competitor:23899,"King, Evan",USA,USA,KIN,16,2025
23,sr:competitor:52202,"Nys, Hugo",Monaco,MCO,NYS,16,2025
24,sr:competitor:52065,"Harrison, Christian",USA,USA,HAR,16,2025
25,sr:competitor:22967,"Bhambri, Yuki",India,IND,BHA,16,2025
26,sr:competitor:106349,"Reboul, Fabien",France,FRA,REB,16,2025
27,sr:competitor:56629,"Peers, John",Australia,AUS,PEE,16,2025
28,sr:competitor:14553,"Ram, Rajeev",USA,USA,RAM,16,2025
29,sr:competitor:206889,"Galloway, Robert",USA,USA,GAL,16,2025
30,sr:competitor:76263,"Matos, Rafael",Brazil,BRA,MAT,16,2025
31,sr:competitor:112805,"Zielinski, Jan",Poland,POL,ZIE,16,2025
32,sr:competitor:74173,"Salisbury, Joe",Great Britain,GBR,SAL,16,2025
33,sr:competitor:14835,"Roger-Vasselin, Edouard",France,FRA,ROG,16,2025
34,sr:competitor:59324,"Pavlasek, Adam",Czechia,CZE,PAV,16,2025
35,sr:competitor:121182,"Guinard, Manuel",France,FRA,GUI,16,2025
36,sr:competitor:106559,"Doumbia, Sadio",France,FRA,DOU,16,2025
37,sr:competitor:16409,"Ebden, Matthew",Australia,AUS,EBD,16,2025
38,sr:competitor:15307,"Bopanna, Rohan",India,IND,BRO,16,2025
39,sr:competitor:45105,"Behar, Ariel",Uruguay,URY,BEH,16,2025
40,sr:competitor:70348,"Goransson, Andre",Sweden,SWE,GOR,16,2025
41,sr:competitor:16124,"Melo, Marcelo",Brazil,BRA,MEL,16,2025
42,sr:competitor:41475,"Arneodo, Romain",Monaco,MCO,ARN,16,2025
